"corporation_cd","item_short_name","medicine_cd","amount_cd","start_date","end_date","locale_id","item_medicine_amount_kj","item_medicine_amount_kn","business_key","drugs_cd","item_medicine_amount_en","unit","item_medicine","hq_item_regulation_flag","standard_class_div","sales_tax_rate_div","unit_pp","main_pp","ee_ea_div","remark","delete_flag","create_user_cd","create_date","record_user_cd","record_date"
"1000","A","11",,"01/01/1900 00:00:00","09/30/2017 00:00:00","ja",,,"0001","02",,,"A-P","0",,,"0.000","0.000","0",,"0","init_data","01/25/2018 20:38:32","init_data","01/25/2018 20:38:32"
"1000","A","11",,"10/01/2017 00:00:00","09/30/2019 00:00:00","ja",,,"0001","02",,,"A-P","0",,,"0.000","0.000","0",,"0","iko90002","11/08/2017 14:56:42","ips00017","09/09/2019 17:00:13"
"1000","A","11",,"10/01/2019 00:00:00","12/31/2999 00:00:00","ja",,,"0001","02",,,"A-P","0",,,"0.000","0.000","0",,"0","ips00017","09/09/2019 17:00:13","ips00017","09/09/2019 17:00:13"
"1000","A","11","010","01/01/1900 00:00:00","09/30/2017 00:00:00","ja","チョコラＡ末１万単位／ｇ","ﾁｮｺﾗAﾏﾂ1ﾏﾝﾀﾝｲ/g","0001","02","A-G","mg","A-P","0","A","08","24.600","22.780","0",,"0","init_data","01/25/2018 20:38:32","init_data","01/25/2018 20:38:32"
"1000","A","11","010","10/01/2017 00:00:00","03/31/2018 00:00:00","ja","チョコラＡ末１万単位／ｇ","ﾁｮｺﾗAﾏﾂ1ﾏﾝﾀﾝｲ/g","0001","02","A-G","mg","A-P","0","A","08","24.600","22.780","0",,"0","iko90002","11/08/2017 15:44:00","iko90001","02/23/2018 21:01:02"
"1000","A","11","010","04/01/2018 00:00:00","09/30/2019 00:00:00","ja","チョコラＡ末１万単位／ｇ","ﾁｮｺﾗAﾏﾂ1ﾏﾝﾀﾝｲ/g","0001","02","A-G","mg","A-P","0","A","08","23.500","21.760","0",,"0","iko90001","02/23/2018 21:01:02","ips00017","09/09/2019 17:00:13"
"1000","A","11","010","10/01/2019 00:00:00","03/31/2020 00:00:00","ja","チョコラＡ末１万単位／ｇ","ﾁｮｺﾗAﾏﾂ1ﾏﾝﾀﾝｲ/g","0001","02","A-G",,"A-P","0","A","10","23.300","21.180","0",,"0","ips00017","09/09/2019 17:00:13","ips00039","03/13/2020 11:34:40"
"1000","A","11","010","04/01/2020 00:00:00","03/31/2021 00:00:00","ja","チョコラＡ末１万単位／ｇ","ﾁｮｺﾗAﾏﾂ1ﾏﾝﾀﾝｲ/g","0001","02","A-G",,"A-P","0","A","10","22.900","20.820","0",,"0","ips00039","03/13/2020 11:34:40","ips00006","03/11/2021 13:05:23"
"1000","A","11","010","04/01/2021 00:00:00","03/31/2022 00:00:00","ja","チョコラＡ末１万単位／ｇ","ﾁｮｺﾗAﾏﾂ1ﾏﾝﾀﾝｲ/g","0001","02","A-G",,"A-P","0","A","10","21.700","19.730","0",,"0","ips00006","03/11/2021 13:05:22","ips00006","03/14/2022 15:05:33"
"1000","A","11","010","04/01/2022 00:00:00","03/31/2023 00:00:00","ja","チョコラＡ末１万単位／ｇ","ﾁｮｺﾗAﾏﾂ1ﾏﾝﾀﾝｲ/g","0001","02","A-G",,"A-P","0","A","10","21.100","19.180","0",,"0","ips00006","03/14/2022 15:05:33","ecl09815","03/03/2023 10:55:14"
"1000","A","11","010","04/01/2023 00:00:00","03/31/2024 00:00:00","ja","チョコラＡ末１万単位／ｇ","ﾁｮｺﾗAﾏﾂ1ﾏﾝﾀﾝｲ/g","0001","02","A-G",,"A-P","0","A","10","19.400","17.640","0",,"0","ecl09815","03/03/2023 10:55:14","ecl09815","03/05/2024 12:41:07"
"1000","A","11","010","04/01/2024 00:00:00","03/31/2025 00:00:00","ja","チョコラＡ末１万単位／ｇ","ﾁｮｺﾗAﾏﾂ1ﾏﾝﾀﾝｲ/g","0001","02","A-G",,"A-P","0","A","10","16.600","15.090","0",,"0","ecl09815","03/05/2024 12:41:07","ips00006","03/07/2025 13:12:16"
"1000","A","11","010","04/01/2025 00:00:00","03/31/2026 00:00:00","ja","チョコラＡ末１万単位／ｇ","ﾁｮｺﾗAﾏﾂ1ﾏﾝﾀﾝｲ/g","0001","02","A-G",,"A-P","0","A","10","16.600","15.090","0","2025/3/7 薬価改定に伴う単位薬価更新","0","ips00006","03/07/2025 13:12:16","ips00006","03/05/2026 10:57:39"
